PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
14593,20221216,AAPL,APPLE INC,134.50999,-0.014579,1
14593,20221219,AAPL,APPLE INC,132.37000,-0.015910,1
14593,20221220,AAPL,APPLE INC,132.30000,-0.000529,1
14593,20221221,AAPL,APPLE INC,135.45000,0.023809,1
14593,20221222,AAPL,APPLE INC,132.23000,-0.023773,1
14593,20221223,AAPL,APPLE INC,131.86000,-0.002798,1
14593,20221227,AAPL,APPLE INC,130.03000,-0.013878,1
14593,20221228,AAPL,APPLE INC,126.04000,-0.030685,1
14593,20221229,AAPL,APPLE INC,129.61000,0.028324,1
14593,20221230,AAPL,APPLE INC,129.92999,0.002469,1
91103,20070103,UAUA,U A L CORP,46.36000,0.053636,1
91103,20070104,UAUA,U A L CORP,47.35000,0.021355,1
91103,20070105,UAUA,U A L CORP,46.55000,-0.016895,1
91103,20070108,UAUA,U A L CORP,46.80000,0.005371,1
91103,20070109,UAUA,U A L CORP,46.84000,0.000855,1
91103,20070110,UAUA,U A L CORP,48.85000,0.042912,1
91103,20070111,UAUA,U A L CORP,50.08000,0.025179,1
91103,20070112,UAUA,U A L CORP,50.16000,0.001597,1
91103,20070116,UAUA,U A L CORP,51.21000,0.020933,1
91103,20070117,UAUA,U A L CORP,49.10000,-0.041203,1
91103,20070118,UAUA,U A L CORP,49.61000,0.010387,1
91103,20070119,UAUA,U A L CORP,49.15000,-0.009272,1
91103,20070122,UAUA,U A L CORP,48.75000,-0.008138,1
91103,20070123,UAUA,U A L CORP,44.81000,-0.080820,1
91103,20070124,UAUA,U A L CORP,45.68000,0.019415,1
91103,20070125,UAUA,U A L CORP,45.19000,-0.010727,1
91103,20070126,UAUA,U A L CORP,43.55000,-0.036291,1
91103,20070129,UAUA,U A L CORP,45.03000,0.033984,1
91103,20070130,UAUA,U A L CORP,43.05000,-0.043971,1
91103,20070131,UAUA,U A L CORP,43.20000,0.003484,1
91103,20070201,UAUA,U A L CORP,44.18000,0.022685,1
91103,20070202,UAUA,U A L CORP,44.31000,0.002943,1
91103,20070205,UAUA,U A L CORP,44.38000,0.001580,1
91103,20070206,UAUA,U A L CORP,45.12000,0.016674,1
91103,20070207,UAUA,U A L CORP,45.36000,0.005319,1
91103,20070208,UAUA,U A L CORP,44.90000,-0.010141,1
91103,20070209,UAUA,U A L CORP,44.42010,-0.010688,1
91103,20070212,UAUA,U A L CORP,44.76000,0.007652,1
91103,20070213,UAUA,U A L CORP,44.71000,-0.001117,1
91103,20070214,UAUA,U A L CORP,44.87000,0.003579,1
91103,20070215,UAUA,U A L CORP,44.50000,-0.008246,1
91103,20070216,UAUA,U A L CORP,44.65000,0.003371,1
91103,20070220,UAUA,U A L CORP,45.17000,0.011646,1
91103,20070221,UAUA,U A L CORP,44.59000,-0.012840,1
91103,20070222,UAUA,U A L CORP,43.39000,-0.026912,1
